Symbol,Count,Probability,InverseProbability,MutualInformation,Entropy,Code,CodeLength,TotalBits,AvgCodeLength
 ,646,0.1367485182049111,7.3126934984520116,2.8704028947032323,0.39252334250175447,000,3,1938,0.41024555461473333
e,359,0.07599491955969517,13.158774373259053,3.7179532155741057,0.2825455555442642,0010,4,1436,0.3039796782387807
o,304,0.06435224386113463,15.539473684210527,3.957865735953572,0.2546975410097133,0011,4,1216,0.2574089754445385
t,286,0.06054191363251482,16.517482517482517,4.045921912618768,0.24494785499766464,0100,4,1144,0.24216765453005928
a,264,0.0558848433530906,17.893939393939394,4.161399130038704,0.23255913851190047,0101,4,1056,0.2235393734123624
i,259,0.0548264182895851,18.239382239382238,4.188984961710603,0.22966704171952715,0110,4,1036,0.2193056731583404
r,247,0.05228619813717189,19.125506072874494,4.257426017812479,0.22260462032169398,0111,4,988,0.20914479254868756
n,229,0.04847586790855207,20.62882096069869,4.366589461300213,0.2116742139368647,1000,4,916,0.1939034716342083
s,198,0.04191363251481795,23.858585858585858,4.576436629317548,0.19181508310856782,10010,5,990,0.20956816257408975
l,181,0.03831498729889924,26.09944751381215,4.705947362313951,0.18030831341634743,10011,5,905,0.1915749364944962
c,151,0.03196443691786621,31.284768211920532,4.9673885100720785,0.15877977667673238,10100,5,755,0.15982218458933106
d,142,0.030059271803556307,33.267605633802816,5.056046129892475,0.15198106486975685,10101,5,710,0.15029635901778154
"
",139,0.029424216765453006,33.985611510791365,5.086852176673649,0.1496766411002619,10110,5,695,0.14712108382726502
h,134,0.0283657917019475,35.25373134328358,5.139704058939385,0.1457917747455287,10111,5,670,0.1418289585097375
u,112,0.023708721422523286,42.17857142857143,5.398438327339553,0.12799007041956603,11000,5,560,0.11854360711261643
m,100,0.021168501270110076,47.24,5.561937059622433,0.11773787171088977,110010,6,600,0.12701100762066045
p,84,0.017781541066892465,56.238095238095234,5.813475826618397,0.10337255915240165,110011,6,504,0.1066892464013548
y,82,0.01735817104149026,57.60975609756098,5.848241244779073,0.10151477181877307,110100,6,492,0.10414902624894157
g,56,0.011854360711261643,84.35714285714286,6.398438327339553,0.07584939592104466,110101,6,336,0.07112616426756986
b,50,0.010584250635055038,94.48,6.561937059622433,0.06945318649049992,110110,6,300,0.06350550381033022
f,49,0.010372565622353938,96.40816326530611,6.591083405281949,0.06836644514369507,1101110,7,343,0.07260795935647757
w,42,0.008890770533446233,112.47619047619047,6.813475826618397,0.060577050109647056,1101111,7,294,0.06223539373412363
P,41,0.00867908552074513,115.21951219512196,6.848241244779073,0.059436471430131664,1110000,7,287,0.060753598645215914
.,39,0.00825571549534293,121.12820512820512,6.920391030534909,0.05713277946461928,1110001,7,273,0.05779000846740051
",",34,0.0071972904318374255,138.94117647058823,7.118330408146818,0.05123269133721249,1110010,7,238,0.05038103302286198
R,30,0.006350550381033023,157.46666666666667,7.298902653788638,0.04635204902914038,1110011,7,210,0.04445385266723116
"""",26,0.00550381033022862,181.69230769230768,7.505353531256065,0.041308042297344985,1110100,7,182,0.03852667231160034
C,24,0.005080440304826418,196.83333333333334,7.620830748676001,0.03871717569183404,11101010,8,192,0.04064352243861134
k,23,0.004868755292125318,205.3913043478261,7.682231293340144,0.03740290426478055,11101011,8,184,0.03895004233700254
I,23,0.004868755292125318,205.3913043478261,7.682231293340144,0.03740290426478055,11101100,8,184,0.03895004233700254
T,19,0.004022015241320914,248.63157894736844,7.957865735953572,0.03200665727839074,11101101,8,152,0.03217612193056731
•,17,0.0035986452159187127,277.88235294117646,8.118330408146818,0.029214990884524956,11101110,8,136,0.028789161727349702
x,17,0.0035986452159187127,277.88235294117646,8.118330408146818,0.029214990884524956,111011110,9,153,0.03238780694326841
L,16,0.003386960203217612,295.25,8.205793249397157,0.027792695171539903,111011111,9,144,0.030482641828958507
S,15,0.0031752751905165114,314.93333333333334,8.29890265378864,0.026351299705086702,11110000,8,120,0.02540220152413209
>,15,0.0031752751905165114,314.93333333333334,8.29890265378864,0.026351299705086702,111100010,9,135,0.0285774767146486
H,12,0.002540220152413209,393.6666666666667,8.620830748676001,0.02189880799833023,111100011,9,108,0.02286198137171888
(,11,0.0023285351397121083,429.4545454545455,8.74636163075986,0.020366210401854035,11110010,8,88,0.018628281117696866
),11,0.0023285351397121083,429.4545454545455,8.74636163075986,0.020366210401854035,111100110,9,99,0.020956816257408976
W,10,0.0021168501270110076,472.4,8.883865154509795,0.018805811080672724,111100111,9,90,0.01905165114309907
:,10,0.0021168501270110076,472.4,8.883865154509795,0.018805811080672724,111101000,9,90,0.01905165114309907
[,9,0.001905165114309907,524.8888888888889,9.035868247954845,0.01721482096350415,111101001,9,81,0.01714648602878916
],9,0.001905165114309907,524.8888888888889,9.035868247954845,0.01721482096350415,111101010,9,81,0.01714648602878916
E,8,0.001693480101608806,590.5,9.205793249397157,0.015589827687378759,111101011,9,72,0.015241320914479254
v,8,0.001693480101608806,590.5,9.205793249397157,0.015589827687378759,111101100,9,72,0.015241320914479254
A,8,0.001693480101608806,590.5,9.205793249397157,0.015589827687378759,1111011010,10,80,0.01693480101608806
F,7,0.0014817950889077054,674.8571428571429,9.398438327339553,0.0139265597568537,1111011011,10,70,0.014817950889077053
j,7,0.0014817950889077054,674.8571428571429,9.398438327339553,0.0139265597568537,111101110,9,63,0.013336155800169348
D,5,0.0010584250635055038,944.8,9.883865154509795,0.010461330603841867,1111011110,10,50,0.010584250635055038
с,5,0.0010584250635055038,944.8,9.883865154509795,0.010461330603841867,1111011111,10,50,0.010584250635055038
/,5,0.0010584250635055038,944.8,9.883865154509795,0.010461330603841867,1111100000,10,50,0.010584250635055038
q,5,0.0010584250635055038,944.8,9.883865154509795,0.010461330603841867,1111100001,10,50,0.010584250635055038
!,5,0.0010584250635055038,944.8,9.883865154509795,0.010461330603841867,1111100010,10,50,0.010584250635055038
',5,0.0010584250635055038,944.8,9.883865154509795,0.010461330603841867,1111100011,10,50,0.010584250635055038
中,4,0.000846740050804403,1181.0,10.205793249397157,0.008641653894493782,1111100100,10,40,0.00846740050804403
文,4,0.000846740050804403,1181.0,10.205793249397157,0.008641653894493782,11111001010,11,44,0.009314140558848433
